id,name_eg,name_ar,actors_name_eg,actors_name_ar,genres_name_eg,genres_name_ar,poster_url,final_rating
1,assal eswed,عسل أسود,"Ahmed Helmy, Edward, Enaam Salosa, Youssef Dawood, Lotfy Labib, Gehan Anwar","أحمد حلمي, إدوارد, إنعام سالوسة, يوسف داوود, لطفي لبيب, جيهان أنور","comedy, drama","كوميديا, دراما",https://i.egycdn.com/pic/WmFwZndlY21tbUVtYm1tbXZtakVjbUx0Y3ZOck5Ueg.jpg,4.1663765795
2,assef ala al izaag,آسف على الإزعاج,"Ahmed Helmy, Mahmoud Hemeida, Menna Shalaby, Dalal Abdelaziz, Mohamed Sharaf, Raouf Moustafa","أحمد حلمي, محمود حميدة, منة شلبي, دلال عبدالعزيز, محمد شرف, رؤوف مصطفى","excitement, romantic, drama, comedy","اثارة, رومانسية, دراما, كوميديا",https://i.egycdn.com/pic/WmFwZndlY21tbUVtRW1qbW1tbUVjbFB3VG1tdnZjbUVtdg.jpg,4.1381293315
3,el feel el azraq,الفيل الأزرق,"Khaled El Sawy, Karim Abdulaziz, Nelly Karim, Sherein Reda, Lebleba, Mohamed Mamdouh","خالد الصاوي, كريم عبدالعزيز, نيللي كريم, شيرين رضا, لبلبة, محمد ممدوح","ambiguity, drama, excitement, crime","غموض, دراما, اثارة, جريمة",https://i.egycdn.com/pic/WmFwZndlY21tbUVtbW1ibWptYkVjdmNtc2pjTm1tYm1wYg.jpg,4.11753875
4,alf mabrouk,ألف مبروك,"Ahmed Helmy, Laila Ezz El Arab, Mahmoud El Fishawy, Sara Abdulrahman, Mohamed Farrag","أحمد حلمي, ليلى عز العرب, محمود الفيشاوي, سارة عبدالرحمن, محمد فراج","comedy, drama","كوميديا, دراما",https://i.egycdn.com/pic/WmFwZndlY21tbXZ2Y21wbW1tRWNtam1EVHZ2Y21FbVR6.jpg,4.0705644595
5,el feel el azraq 2,الفيل الأزرق 2,"Karim Abdulaziz, Hend Sabry, Nelly Karim, Eyad Nassar, Tara Emad, Sherein Reda","كريم عبدالعزيز, هند صبري, نيللي كريم, إياد نصار, تارا عماد, شيرين رضا","horror, excitement, crime","جريمة, رعب, اثارة",https://i.egycdn.com/pic/WmFwZndlY21MTkhjbWJ2Y3ZSY3htSWxtcG12Y3ZOYg.jpg,4.004269029
6,al jazeera,الجزيرة,"Ahmed El Sakka, Mahmoud Yassine, Hend Sabry, Khaled El Sawy, Mahmoud Abdelmoghni, Zeina","أحمد السقا, محمود ياسين, هند صبري, خالد الصاوي, محمود عبدالمغني, زينة","CV, drama, excitement","سيرة ذاتية, دراما, اثارة",https://i.egycdn.com/pic/WmFwZndlY21tbWJtVG9OYWNQbUlsdmN2d1B2TnY.jpg,3.997580086
7,walad el am,ولاد العم,"Karim Abdulaziz, Mona Zaki, Sherif Mounir, Entsar, Salem Klass, Sabri Abdulmonem","كريم عبدالعزيز, منى زكي, شريف منير, إنتصار, سليم كلاس, صبري عبدالمنعم","excitement, drama, Adventure","اثارة, دراما, مغامرة",https://i.egycdn.com/pic/WmFwZndlY21tbUVtVFlFbWVjbVRJeGNOam1ibVR2.jpg,3.986245803
8,keda reda,كده رضا,"Ahmed Helmy, Menna Shalaby, Khaled El Sawy, Lotfy Labib, Sayed Sadek, Mohsen Mansour","أحمد حلمي, منة شلبي, خالد الصاوي, لطفي لبيب, سيد صادق, محسن منصور","excitement, comedy","اثارة, كوميديا",https://i.egycdn.com/pic/WmFwZndlY21tbXZtYm1Zdm1hY21UanZOcGJtdnhQ.jpg,3.9816369845
9,el mamarr,الممر,"Ahmed Ezz, Hend Sabry, Ahmed Rizk, Eyad Nassar, Sherif Mounir, Mohamed Farrag","أحمد عز, هند صبري, أحمد رزق, إياد نصار, شريف منير, محمد فراج","drama, war","دراما, حرب",https://i.egycdn.com/pic/WmFwZndlY21MTllFbWJtSFJjdmNhbG1tbVRqeG1t.jpg,3.90483693
10,el kitkat,الكيت كات,"Mahmoud Abdelaziz, Sherif Mounir, Amina Rizq, Aaidah Riyadh, Najah Al Muji, Ali Hassanein","محمود عبدالعزيز, شريف منير, أمينة رزق, عايدة رياض, نجاح الموجي, علي حسنين","comedy, drama, old movie","كوميديا, دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbXZtdm12dmN2UmN4dmNtdm12YXZ0dHc.jpg,3.88817381
