id,movieinfo_id,actor_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,2,1
8,2,7
9,2,8
10,2,9
11,2,10
12,2,11
13,3,12
14,3,13
15,3,14
16,3,15
17,3,16
18,3,17
19,4,1
20,4,18
21,4,19
22,4,20
23,4,21
24,5,13
25,5,22
26,5,14
27,5,23
28,5,24
29,5,15
30,6,25
31,6,26
32,6,22
33,6,12
34,6,27
35,6,28
36,7,13
37,7,29
38,7,30
39,7,31
40,7,32
41,7,33
42,8,1
43,8,8
44,8,12
45,8,5
46,8,34
47,8,35
48,9,36
49,9,22
50,9,37
51,9,23
52,9,30
53,9,21
54,10,38
55,10,30
56,10,39
57,10,40
58,10,41
59,10,42
60,11,36
61,11,43
62,11,44
63,11,45
64,11,46
65,11,47
66,12,12
67,12,48
68,12,49
69,12,50
70,12,51
71,12,52
72,13,13
73,13,8
74,13,53
75,13,54
76,13,55
77,13,56
78,15,57
79,15,58
80,15,59
81,15,56
82,15,60
83,15,61
84,16,62
85,16,63
86,16,64
87,16,65
88,16,66
89,16,67
90,17,25
91,17,68
92,17,69
93,17,70
94,17,71
95,18,72
96,18,73
97,18,74
98,18,75
99,18,76
100,18,77
101,19,13
102,19,78
103,19,51
104,19,79
105,19,80
106,19,81
107,20,36
108,20,78
109,20,82
110,20,70
111,20,83
112,20,84
113,21,62
114,21,85
115,21,86
116,21,87
117,21,88
118,21,89
119,23,1
120,23,82
121,23,90
122,23,12
123,23,91
124,23,92
125,24,93
126,24,94
127,24,95
128,24,96
129,24,97
130,24,98
131,25,62
132,25,99
133,25,100
134,25,53
135,25,96
136,25,101
137,26,102
138,26,103
139,26,104
140,26,105
141,26,51
142,26,106
143,27,107
144,27,53
145,27,108
146,27,109
147,27,110
148,27,111
149,28,61
150,28,112
151,28,113
152,28,114
153,28,115
154,28,116
155,29,112
156,29,8
157,29,51
158,29,17
159,29,23
160,29,15
161,30,38
162,30,117
163,30,118
164,30,119
165,30,120
