id,date,country,rating,rating_count,plot
1,2010,Egypt,4.45,902,"(Egyptian) A young man immigrated to America with his parents at the age of ten, and after 20 years he returns a desire for stability, and faces many paradoxes resulting from the different times and cultures, as he holds an American passport, which makes everyone deal with him well until he suffers an accident in which he is lost The passport changes everyone's treatment to the opposite."
2,2008,Egypt,4.4,956,"The film revolves around the genius aeronautical engineer Hassan, who dreams of implementing a project to rationalize jet fuel consumption. Hassan falls in love with Farida, so he turns to his father (Mahmoud Hamida) for advice about developing his relationship with Farida and about his personal life, while his mother rejects this way of life and objects to it."
3,2014,Egypt,4.45,741,"(Yahya) is a psychiatrist, who has been out of work for five years, returns to work at Abbasiya Hospital, and is asked to write a report on a psychiatric patient, shocked when he discovers that this patient is his old friend, Doctor (Sherif al-Kurdi), and events complicate to reveal to us exciting secrets She relates to the heroes of the action to unveil a mountain of mystery."
4,2009,Egypt,4.35,849,"(Ahmed Jalal), who is preparing for his wedding, discovers that he is living the same day he spent yesterday, as the day repeats himself with different events, here the hero finds himself trapped in only one day of his life he cannot escape from him."
5,2019,Egypt,4.4,567,"The events of the second part of the film start five years after the events of the first part, where Dr. (Yahya) marries (Lubni), and is summoned to the Department of Dangerous Cases (8 west of Harem), and there he meets someone who manipulates his life and the life of his family, so that Yahya uses the blue elephant pills in Trying to control things and solve the riddles facing him."
6,2007,Egypt,4.35,633,"(Mansour) son of (Ali al-Hefni) is one of the notables of Upper Egypt, and despite Mansour's love for (Karima), he accepts marriage with (Fayeqah) to please his father, and after the father's death, (Mansour) inherits everything from his money and property and even drug dealing, and he helps him in that officer. (Rushdie) facilitated the sale of weapons and drugs to (Mansour) in exchange for informing him about the gangs of Upper Egypt."
7,2009,Egypt,4.3,704,"A Mossad officer responsible for creating a spy network to carry out assassinations in Egypt, he marries an Egyptian girl without telling her his truth, then he flees with her against her will to Israel, pressuring her to deprive her of her children. The Egyptian intelligence service sends an officer to reveal the type of information he obtained and return the deceived wife to Cairo, accompanied by her two children."
8,2007,Egypt,4.3,691,"A mother gives birth to triplets and dies, leaving her twins with a fraudulent father who in turn decides to only show them as one person and extracts for them all official papers in the name of one person (Rida), and over the years the three reach their most intense and they are plunged into defrauding people, taking advantage of the similarity between them, despite their differences between their personalities. (El Prince), (Bebo) and (Sesame)."
9,2019,Egypt,4.3,519,"The film deals with the Egyptian Thunderbolt Forces during the War of Attrition, headed by a brave commander called (Nour), and it discusses the time period starting from the 1967 war until the early times of the War of Attrition."
10,1991,Egypt,4.55,305,"In Kit Kat district, Sheikh Hosni, who is blind, lives with his elderly mother and frustrated young son who cannot find a job after graduating from university. He also fails to find a work contract abroad and tries to emigrate abroad. Hidden tales of the neighborhood."
11,2008,Egypt,4.25,522,"(Ali al-Dakkak) a thief who specializes in opening safes, is arrested to receive a life sentence, and Colonel (Shawqi) offers him to be recruited on a mission in exchange for his release, and (Ali) is given a new life with a new personality and a large sum, but the clash occurs when Shawky offers him a new deal And when (Ali) rejects her, quarrels and deadly blows begin between them."
12,2009,Egypt,4.25,507,"The situation becomes narrow with their adornment, so he is forced to hold a wedding party and hire newlyweds to recover the money he paid as courtesy at the wedding, to pay off his debt and buy microbuses and fate would like his mother to die during the joy, so will the joy continue until he collects his money or ends it?"
13,2006,Egypt,4.25,466,"(Mahmoud) is a simple young man who strives to live like a normal person, his life is going quietly until he witnesses a murder in the garage in which he works as a security guard, and when he speaks the truth, his quiet life falls into collapse, and his dreams are slaughtered by evil emperors, but after he left Prison, he decides to take revenge on those who have been imprisoned."
14,2017,France,3.85,10608,"At the present time in Yerut, where the Lebanese Christian Tony is subjected to a great insult, its origin is a border issue that brings him together with the Palestinian refugee Yasser, the court spreads secret wounds and reveals many traumas. As well as the media surrounding the case, which is pushing it persistently towards the brink of explosion;"
15,1992,Egypt,4.4,316,"(Ahmed) goes to the Tahrir compound to extract the papers to transfer his son to another school, and there he collides with administrative obstacles, and finds himself suddenly involved in carrying a weapon and declaring it among the citizens, so he takes some hostages and some of the present join him, and soon the police forces come to surround the place, escalating events"
